id;category;subcategory;manufacturer;brand_owner;brand;sub-brand;flavour;description;rating;location;image
85981708373;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Original;;3;Helsinki;
61396675534;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero;Original;;2;Helsinki;
78682310352;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero ;Vanilla;;3,5;Helsinki;
82775368453;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero ;Peach;;3;Helsinki;
36152771009;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero ;Cherry;;3;Helsinki;
72877645953;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero ;Sitruuna;;2;Helsinki;
49819416591;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero ;Kofeiiniton;;3;Helsinki;
39151380112;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Zero ;Vadelma;;4;Helsinki;
27451128951;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Light;;4;Helsinki;
77643133782;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Lime;;2;Helsinki;
96145811978;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Vanilla;;3,5;Helsinki;
89713640603;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Cherry;;3;Helsinki;
61647243818;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Cherry Vanilla;;3;Helsinki;
33476430485;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Kaneli;;2;Helsinki;
32509228375;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Regular Mexico;;3;Helsinki;
26357429362;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Caffeine Free;;4;Helsinki;
33348599468;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Life;;4;Helsinki;
95732173469;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Diet;Exotic Mango;;2;Helsinki;
21746697738;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;Diet ;Feisty Cherry;;3,5;Helsinki;
90987739397;Beverage;Soda;The Coca-Cola Company;The Coca-Cola Company;Coca Cola;;Sitruuna;;3;Helsinki;
